Item,Title,Price,Image_link,Purchase_link
Micromax,Micromax Q440,"6,750",https://www.buymobile.com.bd/image/cache/catalog/micromax/q440/q440-228x228.jpg,https://www.buymobile.com.bd/micromax-q440
Oppo,Oppo F7(4GB),"24,990",https://www.buymobile.com.bd/image/cache/catalog/oppo/oppo-f7/o1-228x228.jpg,https://www.buymobile.com.bd/oppo-f7
Huawei,Huawei Y9 (2018),"19,590",https://www.buymobile.com.bd/image/cache/catalog/huawei/y9-2018/b3-228x228.jpg,https://www.buymobile.com.bd/huawei-y9-2018
Huawei,Huawei P20 Pro,"82,990",https://www.buymobile.com.bd/image/cache/catalog/huawei/huawei-p20/p1-228x228.jpg,https://www.buymobile.com.bd/huawei-p20
Lava,Lava R3,"13,990",https://www.buymobile.com.bd/image/cache/catalog/lava/lava-r3/b12-228x228.jpg,https://www.buymobile.com.bd/lava-r3
Maximus,Maximus A15,750,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-a15/b7-228x228.jpg,https://www.buymobile.com.bd/maximus-a15
Maximus,Maximus S6,"1,090",https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-s6/s1-228x228.jpg,https://www.buymobile.com.bd/maximus-s6
Apple,"Apple iPAD Pro 12.9"" 128GB","70,000",https://www.buymobile.com.bd/image/cache/catalog/apple/ipad-pro-9.7in/6-228x228.jpg,https://www.buymobile.com.bd/apple-ipad-pro-128gb
Apple,Apple iPad Air 2,"70,930",https://www.buymobile.com.bd/image/cache/catalog/apple/ipad-air-2/15-228x228.jpg,https://www.buymobile.com.bd/apple-ipad-air-2
Apple,Apple iPhone 8 Plus 256GB,"125,000",https://www.buymobile.com.bd/image/cache/catalog/apple/iphone_8/3-228x228.jpg,https://www.buymobile.com.bd/apple-iphone-8-plus-256gb
Maximus,Maximus M15,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/m15/b1-228x228.jpg,https://www.buymobile.com.bd/maximus-m15
Apple,Apple iPhone 8 Plus 64GB,"105,000",https://www.buymobile.com.bd/image/cache/catalog/apple/iphone_8/3-228x228.jpg,https://www.buymobile.com.bd/apple-iphone-8-plus-64gb
Apple,Apple iPhone 8 256 GB,"111,500",https://www.buymobile.com.bd/image/cache/catalog/apple/iphone_8/9-228x228.jpg,https://www.buymobile.com.bd/apple-phone-8-256gb
Apple,Apple iPhone 8 64 GB,"92,000",https://www.buymobile.com.bd/image/cache/catalog/apple/iphone_8/9-228x228.jpg,https://www.buymobile.com.bd/apple-iphone-8-64gb
BlackBerry,BlackBerry KEYONE,"53,990",https://www.buymobile.com.bd/image/cache/catalog/blackberry/keyone/blackberry-6-228x228.jpg,https://www.buymobile.com.bd/blackberry-keyone
Nokia,Nokia 1,"7,999",https://www.buymobile.com.bd/image/cache/catalog/nokia/nokia-1/b1-228x228.jpg,https://www.buymobile.com.bd/nokia-1
Nokia,Nokia 8,"52,999",https://www.buymobile.com.bd/image/cache/catalog/nokia/nokia_8/n8-228x228.jpg,https://www.buymobile.com.bd/nokia-8
Samsung,Samsung Galaxy Tab A7,"14,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-tab-a7/10-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-tab-a7
Samsung,Samsung Galaxy Tab 3 V,"12,490",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-tab-3v/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-tab-3v
Samsung,Samsung Galaxy J-Max,"16,990",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j-max/1-228x228.jpg,https://www.buymobile.com.bd/samsung-j-max
Samsung,Samsung Galaxy S8,"79,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-s8/5-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-s8
Samsung,Samsung Galaxy A8+,"65,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-a8-+/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-a8-plus
Samsung,Samsung Galaxy A7 (2016),"32,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-a7-2016/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-a7-2016
Samsung,Samsung Galaxy J7 Pro,"30,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-pro/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j7-pro
Samsung,Samsung Galaxy A5 (2016),"26,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-a5-2016/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-a5-2016
Samsung,Samsung Galaxy J7 MAX,"25,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-max/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j7-max
Samsung,Samsung Galaxy J7 Prime (32GB),"20,200",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-prime-32gb/j1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j7-prime-32gb
DCL,DCL D10 Lite,"1,050",https://www.buymobile.com.bd/image/cache/catalog/dcl%20category/dcl-d10-lite/d1-228x228.jpg,https://www.buymobile.com.bd/dcl-d10-lite
Samsung,Samsung Galaxy J7 Nxt (32GB),"20,900",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-nxt-32gb/a5-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j7-nxt-32gb
Samsung,Samsung Galaxy J7 (2016),"16,790",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-2016/s6-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j7-2016
Samsung,Samsung Galaxy J7 Nxt,"16,990",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j7-nxt/1-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-7-nxt
Samsung,Samsung Galaxy On7 Pro,"13,290",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-on7-pro/on7-8-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-on7-pro
Samsung,Samsung Galaxy J2 Pro,"13,990",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j2-pro/pro-5-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j2-pro
